Title_translated,Funding_Amount_in_EUR,Start_Date,Start_Year,End_Date,End_Year,Research_Organization_original,Research_Organization_standardized,Country_of_Research_organization,Funder,Funder_Group,Funder_Country,Fields_of_Research_ANZSRC_2020,RCDC_Categories,HRCS_HC_Categories,HRCS_RAC_Categories,Cancer_Types,CSO_Categories,Units_of_Assessment,Sustainable_Development_Goals,topic
Diaporthe helianthi - sunflower,175595.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Pisa; University of Bari Aldo Moro; Catholic University of the Sacred Heart; University of Palermo; University of Naples Federico II; University of Reggio Calabria; University of Perugia; University of Udine,University of Pisa; University of Bari Aldo Moro; Catholic University of the Sacred Heart; University of Palermo; University of Naples Federico II; University of Reggio Calabria; University of Perugia; University of Udine,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,,,,,,,,,sunflower diaporthe
Damage to connecting systems in metal and composite structures,317620.0,1999-01-01,1999.0,2001-01-01,2001.0,Politecnico di Milano; University of Pisa; University of Chieti-Pescara; University of Trento; University of Naples Federico II; Sapienza University of Rome; University of Sannio; University of Palermo; University of Salerno,Politecnico di Milano; University of Pisa; University of Chieti-Pescara; University of Trento; University of Naples Federico II; Sapienza University of Rome; University of Sannio; University of Palermo; University of Salerno,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,34 Chemical Sciences; 40 Engineering; 4001 Aerospace Engineering; 4016 Materials Engineering,,,,,,,,damage to structure
Mechanisms of susceptibility to infections and clinical impact in primary immunodeficiencies,232405.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Brescia; University of Naples Federico II; University of Messina; University of Bari Aldo Moro; University of Rome Tor Vergata; University of Insubria; University of Turin,University of Brescia; University of Naples Federico II; University of Messina; University of Bari Aldo Moro; University of Rome Tor Vergata; University of Insubria; University of Turin,Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 3202 Clinical Sciences,,Inflammatory and immune system,,,,,,immune deficit
THE REFORM OF CIVIL AVIATION IN ITALY,14460.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Rome Tor Vergata; University of Naples Federico II,University of Rome Tor Vergata; University of Naples Federico II,Italy; Italy,"Ministry of Education, Universities and Research",,Italy,,,,,,,,,reform of italy's civil aviation
Study of the relationship between the manifestations of psychological discomfort in the child and the adult and the attachment experiences.,372881.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Bologna; University of Brescia; Sapienza University of Rome; University of Turin; University of Naples Federico II; University of Padua; University of Florence; Vita-Salute San Raffaele University; University of Palermo,University of Bologna; University of Brescia; Sapienza University of Rome; University of Turin; University of Naples Federico II; University of Padua; University of Florence; Vita-Salute San Raffaele University; University of Palermo,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,52 Psychology; 5203 Clinical and Health Psychology,,Generic health relevance; Mental health,,,,,,child-adult attachment and psychological discomfort
METABOLIC AND FUNCTIONAL EFFECTS OF INNULIN ON THE CARDIOVASCULAR SYSTEM AND THE CENTRAL NERVOUS SYSTEM,155969.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Naples Federico II; University of Milan; University of Pisa; Sapienza University of Rome,University of Naples Federico II; University of Milan; University of Pisa; Sapienza University of Rome,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 32 Biomedical and Clinical Sciences; 3214 Pharmacology and Pharmaceutical Sciences,,Cardiovascular,,,,,,innulin's impact on cv and cns
NUMBER METHODS FOR EVOLUTION PROBLEMS,238086.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Florence; University of Trieste; University of Catania; University of Ferrara; University of Naples Federico II; University of Bari Aldo Moro; University of Bergamo; University of Calabria; University of Pisa,University of Florence; University of Trieste; University of Catania; University of Ferrara; University of Naples Federico II; University of Bari Aldo Moro; University of Bergamo; University of Calabria; University of Pisa,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,,,,,,,,,num evol
Crystallization of polymer-induced flow. Impact on the flat film process and movie properties.,516973.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Salerno; University of Palermo; University of Genoa; University of Naples Federico II; Politecnico di Milano; University of Bologna; Polytechnic University of Turin; University of Trieste,University of Salerno; University of Palermo; University of Genoa; University of Naples Federico II; Politecnico di Milano; University of Bologna; Polytechnic University of Turin; University of Trieste,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,40 Engineering; 4016 Materials Engineering,,,,,,,,polymer flow's effect on film quality
Metabolic pathologies and animal production,144607.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Camerino; University of Parma; University of Padua; University of Messina; University of Perugia; University of Bologna; University of Naples Federico II,University of Camerino; University of Parma; University of Padua; University of Messina; University of Perugia; University of Bologna; University of Naples Federico II,Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,,,,,,,,,animal metabolism
"Symmetries, geometric shapes, evolution and memory in partial derivative equations.",403352.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Florence; University of Cagliari; University of Pavia; University of Pisa; Politecnico di Milano; University of Milan; Sapienza University of Rome; University of Campania Luigi Vanvitelli; University of Naples Federico II; University of Catania,University of Florence; University of Cagliari; University of Pavia; University of Pisa; Politecnico di Milano; University of Milan; Sapienza University of Rome; University of Campania Luigi Vanvitelli; University of Naples Federico II; University of Catania,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,49 Mathematical Sciences; 4904 Pure Mathematics; 51 Physical Sciences,,,,,,,,symmetry and memory
Molecular analysis of the cell wall in the ectomycorrhizal fungus Tuber borchii Vittad.,160101.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Urbino; University of Naples Federico II; University of Turin; University of Bologna,University of Urbino; University of Naples Federico II; University of Turin; University of Bologna,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3107 Microbiology,,,,,,,,tuber borchii cell wall
Development of Magnetic Resonance Methods for the Study of Brain Function and Metabolism,77468.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Naples Federico II; Sapienza University of Rome,University of Naples Federico II; Sapienza University of Rome,Italy; Italy,"Ministry of Education, Universities and Research",,Italy,40 Engineering; 4003 Biomedical Engineering; 51 Physical Sciences,,Mental health; Neurological,,Brain Tumor,,,,mr brain metab
Creation of a national network for the study of breast herpes tumors,413165.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Modena and Reggio Emilia; Magna Graecia University; University of Padua; Marche Polytechnic University; Catholic University of the Sacred Heart; University of Messina; University of Naples Federico II; University of Chieti-Pescara; University of L'Aquila; University of Turin,University of Modena and Reggio Emilia; Magna Graecia University; University of Padua; Marche Polytechnic University; Catholic University of the Sacred Heart; University of Messina; University of Naples Federico II; University of Chieti-Pescara; University of L'Aquila; University of Turin,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 3211 Oncology and Carcinogenesis,,,,Breast Cancer,,,,breast herpes tumor
STATISTICAL CLASSIFICATION AND SEGMENTATION MODELS FOR THE ANALYSIS OF STRUCTURED DATA IN COMPLEX FORM,66622.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Naples Federico II; University of Bari Aldo Moro; University of Campania Luigi Vanvitelli; University of Chieti-Pescara; University of Cagliari,University of Naples Federico II; University of Bari Aldo Moro; University of Campania Luigi Vanvitelli; University of Chieti-Pescara; University of Cagliari,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,46 Information and Computing Sciences; 4612 Software Engineering,,,2.5 Research design and methodologies (aetiology),,,,,data analysis
The fundamental principles of common constitutional law between the Community system and national states,132729.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Naples Federico II; University of Milan; University of Pavia; Sapienza University of Rome; University of Calabria; University of Cagliari; University of Bari Aldo Moro; University of Genoa; University of Parma,University of Naples Federico II; University of Milan; University of Pavia; Sapienza University of Rome; University of Calabria; University of Cagliari; University of Bari Aldo Moro; University of Genoa; University of Parma,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,48 Law and Legal Studies; 4807 Public Law,,,,,,,"16 Peace, Justice and Strong Institutions",common law and constitution
Models for the treatment of partial knowledge in decision-making,149772.0,1999-01-01,1999.0,2001-01-01,2001.0,Sapienza University of Rome; University of Palermo; University of Chieti-Pescara; University of Naples Federico II; University of Perugia; University of Sannio; University of Catania; University of Campania Luigi Vanvitelli; Luiss University; University of Salerno,Sapienza University of Rome; University of Palermo; University of Chieti-Pescara; University of Naples Federico II; University of Perugia; University of Sannio; University of Catania; University of Campania Luigi Vanvitelli; Luiss University; University of Salerno,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,46 Information and Computing Sciences; 4602 Artificial Intelligence; 50 Philosophy and Religious Studies,,,,,,,,treating partial knowledge
"Politics and participation in the citizen systems of the ancient empires. Rights, society, cultures.",79017.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Florence; University of Parma; University of Naples - L'Orientale; Sapienza University of Rome; University of Naples Federico II,University of Florence; University of Parma; University of Naples - L'Orientale; Sapienza University of Rome; University of Naples Federico II,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,44 Human Society; 4408 Political Science,,,,,,,,ancient empire politic
MOLECULAR DYNAMICS IN THE GAS AND CONDENSED PHASE,1162028.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Florence; University of Naples Federico II; University of Insubria; University of Bari Aldo Moro; Ca' Foscari University of Venice; Sapienza University of Rome; University of Perugia; University of Bologna; University of Parma; University of Sassari,University of Florence; University of Naples Federico II; University of Insubria; University of Bari Aldo Moro; Ca' Foscari University of Venice; Sapienza University of Rome; University of Perugia; University of Bologna; University of Parma; University of Sassari,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,34 Chemical Sciences; 3406 Physical Chemistry; 3407 Theoretical and Computational Chemistry,,,,,,,,molecular dynamic
The city of the Mediterranean,477206.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Naples Federico II; Sapienza University of Rome; University of Catania; University of Reggio Calabria,University of Naples Federico II; Sapienza University of Rome; University of Catania; University of Reggio Calabria,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,,,,,,,,,mediterranean city
Role of gene transcription in the control of cell proliferation,191089.0,1999-01-01,1999.0,2001-01-01,2001.0,Magna Graecia University; University of Campania Luigi Vanvitelli; University of Naples Federico II; University of L'Aquila,Magna Graecia University; University of Campania Luigi Vanvitelli; University of Naples Federico II; University of L'Aquila,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3101 Biochemistry and Cell Biology,,,1.1 Normal biological development and functioning,Not Site-Specific Cancer,1.1 Normal Functioning; 2.2 Endogenous Factors in the Origin and Cause of Cancer,,,gene transcription and cell proliferation
New molecular approaches to antineoplastic therapy,723039.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Bologna; University of Genoa; University of Turin; University of Padua; University of Sassari; University of Chieti-Pescara; University of Naples Federico II; Magna Graecia University; University of Florence; Marche Polytechnic University; University of Catania; University of Ferrara; Roma Tre University; University of Eastern Piedmont Amadeo Avogadro,University of Genoa; University of Bologna; University of Turin; University of Padua; University of Sassari; University of Chieti-Pescara; University of Naples Federico II; Magna Graecia University; University of Florence; Marche Polytechnic University; University of Catania; University of Ferrara; Roma Tre University; University of Eastern Piedmont Amadeo Avogadro,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 34 Chemical Sciences; 3407 Theoretical and Computational Chemistry,,,,,,,,molecular cancer
Classic Themes in Modern Growth Theories,67139.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Pisa; University of Siena; University of Catania; Parthenope University of Naples; University of Naples Federico II,University of Pisa; University of Siena; University of Catania; Parthenope University of Naples; University of Naples Federico II,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,,,,,,,,,modernizing classic growth theory
CONTROL MECHANISMS OF CHROMOSOMA-PHILADELPHIA POSITIVE LEUKEMIA,257195.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Turin; University of Genoa; University of Udine; University of Siena; Sapienza University of Rome; University of Naples Federico II; University of Bologna; University of Verona; University of Modena and Reggio Emilia; University of Florence,University of Turin; University of Genoa; University of Udine; University of Siena; Sapienza University of Rome; University of Naples Federico II; University of Bologna; University of Verona; University of Modena and Reggio Emilia; University of Florence,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 49 Mathematical Sciences; 4901 Applied Mathematics,,,,Leukemia / Leukaemia,5.3 Systemic Therapies - Discovery and Development,,,leukemia control
LEGISLATIVE TECHNIQUES FOR SUPPORT OF EMPLOYMENT AND ADMINISTRATIVE DECENTRALIZATION,122400.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Naples Federico II; University of Sannio; University of Catania; University of Trento; Magna Graecia University,University of Naples Federico II; University of Sannio; University of Catania; University of Trento; Magna Graecia University,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,42 Health Sciences; 4201 Allied Health and Rehabilitation Science; 44 Human Society,,,,,,,,legislation for decentralized employment
Potential use of biological indicators to assess soil quality for a sustainable environment.,180759.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Bari Aldo Moro; Catholic University of the Sacred Heart; University of Naples Federico II; University of Palermo; University of Molise; University of Catania; University of Turin,University of Bari Aldo Moro; Catholic University of the Sacred Heart; University of Naples Federico II; University of Palermo; University of Molise; University of Catania; University of Turin,Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,41 Environmental Sciences; 4106 Soil Sciences,,,,,,,,biological indicator and soil sustainability
"Structural and functional properties, application aspects of proteins isolated from thermophiles",258228.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Naples Federico II; University of Campania Luigi Vanvitelli; University of Bologna; Marche Polytechnic University; University of Milano-Bicocca; Sapienza University of Rome,University of Naples Federico II; University of Campania Luigi Vanvitelli; University of Bologna; Marche Polytechnic University; University of Milano-Bicocca; Sapienza University of Rome,Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3101 Biochemistry and Cell Biology,,,,,,,,thermophilic protein
Glycobiology of fertilization,144607.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Siena; University of Naples Federico II; University of L'Aquila; University of Genoa,University of Siena; University of Naples Federico II; University of L'Aquila; University of Genoa,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3101 Biochemistry and Cell Biology,,,,,,,,glyco-fertiliz
ANALYSIS AND EXPERIMENTAL OF STRUCTURES REALIZED BY SPECIAL CALCULATORS,214329.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Naples Federico II; Polytechnic University of Turin; University of Padua; University of Calabria; University of Parma; University of Catania,University of Naples Federico II; Polytechnic University of Turin; University of Padua; University of Calabria; University of Parma; University of Catania,Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,34 Chemical Sciences; 38 Economics; 3801 Applied Economics,,,,,,,,structural analysis
The nociceptin/ORL-1 receptor system,154937.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Ferrara; University of Naples Federico II; University of Bologna; University of Camerino,University of Ferrara; University of Naples Federico II; University of Bologna; University of Camerino,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,,,,,,,,,nociceptin role
"Study of population dynamics and typing of viruses, viroids and phytoplasms of proven economic importance for Mediterranean agri culture.",247899.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Naples Federico II; University of Udine; University of Bologna; University of Bari Aldo Moro; University of Basilicata; University of Parma; University of Milan; University of Reggio Calabria; University of Catania,University of Naples Federico II; University of Udine; University of Bologna; University of Bari Aldo Moro; University of Basilicata; University of Parma; University of Milan; University of Reggio Calabria; University of Catania,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3107 Microbiology,,,,,,,,agricultural virology
Genetic alterations involved in the predisposition and progression of gastrointestinal tumors.,206582.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Modena and Reggio Emilia; Catholic University of the Sacred Heart; University of Chieti-Pescara; University of Pisa; University of Messina; University of Pavia; University of Naples Federico II; University of Florence,University of Modena and Reggio Emilia; Catholic University of the Sacred Heart; University of Chieti-Pescara; University of Pisa; University of Messina; University of Pavia; University of Naples Federico II; University of Florence,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3105 Genetics; 32 Biomedical and Clinical Sciences; 3211 Oncology and Carcinogenesis,,,,Colon and Rectal Cancer; Esophageal / Oesophageal Cancer; Gastrointestinal Tract,1.3 Cancer Initiation: Oncogenes and Tumor Suppressor Genes; 2.2 Endogenous Factors in the Origin and Cause of Cancer,,,gastrointestinal tumor genetic
Functional design and experimentation of innovative supports and seals for rotating machinery,224658.0,1999-01-01,1999.0,2001-01-01,2001.0,Politecnico di Milano; University of Salerno; Polytechnic University of Turin; University of Florence; University of Naples Federico II; University of Parma; University of Genoa,Politecnico di Milano; University of Salerno; Polytechnic University of Turin; University of Florence; University of Naples Federico II; University of Parma; University of Genoa,Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,33 Built Environment and Design; 3303 Design,,,,,,,,innovative seal
Theoretical physics of the core and of more than one body,593925.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Padua; University of Salento; University of Naples Federico II; University of Pavia; University of Pisa; University of Bologna; University of Catania; University of Rome Tor Vergata; Polytechnic University of Turin; University of Turin; University of Cagliari; University of Florence; University of Trieste; University of Milan; University of Genoa; University of Trento; University of Perugia,University of Padua; University of Salento; University of Naples Federico II; University of Pavia; University of Pisa; University of Bologna; University of Catania; University of Rome Tor Vergata; Polytechnic University of Turin; University of Turin; University of Cagliari; University of Florence; University of Trieste; University of Milan; University of Genoa; University of Trento; University of Perugia,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,51 Physical Sciences; 5106 Nuclear and Plasma Physics,,,,,,,,multi-body core
Role of chains and WNT-1 in carcinogenesis and tumor progression of the head-neck region,154937.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Chieti-Pescara; University of Naples Federico II; Sapienza University of Rome; University of Bari Aldo Moro,University of Chieti-Pescara; University of Naples Federico II; Sapienza University of Rome; University of Bari Aldo Moro,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 3211 Oncology and Carcinogenesis,,Cancer,,Ear Cancer; Head and Neck Cancer; Laryngeal Cancer; Nasal Cavity and Paranasal Sinus Cancer; Oral Cavity and Lip Cancer; Pharyngeal Cancer; Salivary Gland Cancer,1.4 Cancer Progression and Metastasis,,,cancer chain wnt-1
Civil war. For an atlas of Nazi massacres in Italy,154937.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Pisa; University of Bologna; University of Bari Aldo Moro; University of Naples Federico II,University of Pisa; University of Bologna; University of Bari Aldo Moro; University of Naples Federico II,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,,,,,,,,,nazi massacre in italy
Theoretical Physics of Fundamental Interactions,1394433.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Rome Tor Vergata; University of Salerno; University of Trento; University of Pisa; University of Florence; University of Padua; Sapienza University of Rome; University of Genoa; University of Parma; University of Milano-Bicocca; University of Bergamo; University of Calabria; University of Trieste; University of Milan; Roma Tre University; University of Turin; University of Bologna; University of Eastern Piedmont Amadeo Avogadro; Polytechnic University of Turin; University of Bari Aldo Moro; University of Catania; Scuola Normale Superiore di Pisa; University of Naples Federico II; University of Perugia; International School for Advanced Studies,University of Rome Tor Vergata; University of Salerno; University of Trento; University of Pisa; University of Florence; University of Padua; Sapienza University of Rome; University of Genoa; International School for Advanced Studies; University of Parma; University of Milano-Bicocca; University of Bergamo; University of Calabria; University of Trieste; University of Milan; Roma Tre University; University of Turin; University of Bologna; University of Eastern Piedmont Amadeo Avogadro; Polytechnic University of Turin; University of Bari Aldo Moro; University of Catania; Scuola Normale Superiore di Pisa; University of Naples Federico II; University of Perugia,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,,,,,,,,,fundamentalism
Adromycoses and biomolecules,170430.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Catania; University of Florence; University of Naples Federico II; Sapienza University of Rome; University of Sassari; University of Palermo; University of Bari Aldo Moro; University of Foggia,University of Catania; University of Florence; University of Naples Federico II; Sapienza University of Rome; University of Sassari; University of Palermo; University of Bari Aldo Moro; University of Foggia,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,,,,,,,,,biomolec adromyc
Relations between politics and administration in the Roman organizational and economic system,139443.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Bari Aldo Moro; University of Parma; University of Siena; University of Florence; University of Trieste; University of Naples Federico II; University of Salento,University of Bari Aldo Moro; University of Parma; University of Siena; University of Florence; University of Trieste; University of Naples Federico II; University of Salento,Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,44 Human Society; 4407 Policy and Administration; 4408 Political Science,,,,,,,,politics-admin roman econ
CELLULAR AND MOLECULAR BASIS OF INFLAMMATION CONTROL IN HUMAN GASTROINTESTINAL MUCOSA,309874.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Rome Tor Vergata; Magna Graecia University; University of Perugia; University of Florence; University of Bologna; University of Naples Federico II; University of Campania Luigi Vanvitelli; University of Padua; Sapienza University of Rome; University of Palermo; University of L'Aquila; University of Milan,University of Rome Tor Vergata; Magna Graecia University; University of Perugia; University of Florence; University of Bologna; University of Naples Federico II; University of Campania Luigi Vanvitelli; University of Padua; Sapienza University of Rome; University of Palermo; University of L'Aquila; University of Milan,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3107 Microbiology; 32 Biomedical and Clinical Sciences,,Inflammatory and immune system,2.1 Biological and endogenous factors,,,,,inflammation control
CANINE AND FELINE BREAST NEOPLASMS,13427.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Naples Federico II,University of Naples Federico II,Italy,"Ministry of Education, Universities and Research",,Italy,"30 Agricultural, Veterinary and Food Sciences; 3009 Veterinary Sciences; 32 Biomedical and Clinical Sciences; 3211 Oncology and Carcinogenesis; 42 Health Sciences; 4203 Health Services and Systems",,Cancer,,Breast Cancer,,,,canine/feline breast cancer
INSULATION AND INFRASTRUCTURE FORMS. CRITERIA PROCEDURES AND METHODS FOR THE PROJECT,401287.0,1999-01-01,1999.0,2001-01-01,2001.0,Polytechnic University of Turin; University of Chieti-Pescara; University of Florence; University of Naples Federico II; Politecnico di Milano; University of Genoa; University of Ferrara; University of Camerino; Sapienza University of Rome; University of Palermo; Università Iuav di Venezia,Polytechnic University of Turin; University of Chieti-Pescara; University of Florence; University of Naples Federico II; Politecnico di Milano; University of Genoa; University of Ferrara; University of Camerino; Sapienza University of Rome; University of Palermo; Università Iuav di Venezia,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,33 Built Environment and Design; 3302 Building,,,,,,,,insulation and infrastructure
GENETICS OF CALIFORNIC NEFROLITES AND RELATED PATHOLOGIES,154937.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Parma; University of Padua; University of Milan; University of Naples Federico II; University of Bologna,University of Parma; University of Padua; University of Milan; University of Naples Federico II; University of Bologna,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3105 Genetics,,,2.1 Biological and endogenous factors,,,,,genetic risk of nephrolithiasis
Study of animal germplasm and physiological functions for improving livestock production in warm weather conditions,242734.0,1999-01-01,1999.0,2001-01-01,2001.0,Tuscia University; University of Pisa; University of Catania; University of Milan; University of Florence; University of Naples Federico II; University of Basilicata,Tuscia University; University of Pisa; University of Catania; University of Milan; University of Florence; University of Naples Federico II; University of Basilicata,Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,"30 Agricultural, Veterinary and Food Sciences; 3002 Agriculture, Land and Farm Management",,,,,,,,livestock heat stress
INTEGRATED MANAGEMENT OF INTERACTING PRODUCTION SYSTEMS,318653.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Genoa; Polytechnic University of Bari; Politecnico di Milano; University of Salerno; University of Naples Federico II; University of L'Aquila; University of Florence,University of Genoa; Polytechnic University of Bari; Politecnico di Milano; University of Salerno; University of Naples Federico II; University of L'Aquila; University of Florence,Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,"35 Commerce, Management, Tourism and Services; 40 Engineering; 4014 Manufacturing Engineering",,,,,,,,managing interaction
Innovative systems for the defense and enhancement of plant species of significant economic interest for the Mediterranean area,413165.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Naples Federico II; Catholic University of the Sacred Heart; University of Milan; Tuscia University; University of Basilicata; University of Florence,University of Naples Federico II; Catholic University of the Sacred Heart; University of Milan; Tuscia University; University of Basilicata; University of Florence,Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3108 Plant Biology,,,,,,,,protecting mediterranean crop
The theory of architecture as the foundation of the project discipline,106390.0,1999-01-01,1999.0,2001-01-01,2001.0,Politecnico di Milano; University of Florence; Università Iuav di Venezia; University of Palermo; University of Naples Federico II,Politecnico di Milano; University of Florence; Università Iuav di Venezia; University of Palermo; University of Naples Federico II,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,33 Built Environment and Design; 3301 Architecture; 3302 Building; 40 Engineering; 4005 Civil Engineering,,,,,,,,architecture theory
The immunogenetic bases of settability to disease and diversity of clinical expression in seronegative spondylarthritis,98126.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Cagliari; University of Padua; University of Bari Aldo Moro; Sapienza University of Rome; University of Naples Federico II,University of Cagliari; University of Padua; University of Bari Aldo Moro; Sapienza University of Rome; University of Naples Federico II,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3107 Microbiology,,,,,,,,immunity and spa
